key,model,family,val_pr_auc,val_roc_auc,val_brier,val_log_loss,val_mean_pred,val_base_rate,cv_pr_auc_mean,cv_pr_auc_std,cv_roc_auc_mean,cv_brier_mean,fit_seconds,cv_seconds
04_extra_trees,Extra Trees,bagging,0.40131876731131627,0.8063990837946174,0.10974325186027947,0.34941639900694665,0.16216392305868607,0.155,0.4060921726279962,0.03718467065480767,0.8006870387773617,0.11757178961470312,5.21376633644104,11.55418586730957
01_logistic,Logistic Regression,linear,0.39394140089056,0.8096259591525101,0.10941123746886729,0.3443009350968153,0.1544250208494903,0.155,0.4144660181728882,0.03571486298003215,0.8044731923879356,0.11584505763905768,0.600907564163208,1.643277645111084
09_catboost,CatBoost,boosting,0.3930982157578525,0.8061853025386525,0.109875680488981,0.3454546022928673,0.1493159167019723,0.155,0.40116493322551117,0.03204592234171957,0.7975780542524733,0.11769177088246696,6.572218179702759,24.758488655090332
03_random_forest,Random Forest,bagging,0.39231335325442873,0.8043846535598397,0.11067289214233733,0.3527974311122854,0.1590980793440299,0.155,0.40527542632865166,0.04020231992788668,0.7997239352392483,0.11799294152040703,6.109324216842651,15.43063235282898
05_gradient_boosting,Gradient Boosting,boosting,0.39134252671570235,0.8086564611567092,0.10950077359161524,0.3450667656414452,0.15448232669651812,0.155,0.39695009618322014,0.03541708291554542,0.7988933695883834,0.11777355560549582,30.16323471069336,68.89787197113037
10_mlp,MLP,neural,0.38592436410147146,0.8055103645733919,0.11066615379340755,0.3480410227709907,0.14555034726778648,0.155,0.3886951597819905,0.035508814792039954,0.7883795023447328,0.11949390649036232,4.774264574050903,9.964090347290039
07_xgboost,XGBoost,boosting,0.38066956132958746,0.7999392250429471,0.11133174314738094,0.3500814377207624,0.14809219608225394,0.155,0.3847114742992265,0.039061203059808,0.791455175567941,0.12010927076005476,2.210850954055786,8.577547788619995
08_lightgbm,LightGBM,boosting,0.3788990278748071,0.7965529299484634,0.11170902509808539,0.3518492140251007,0.1477336202984118,0.155,0.3776859727722841,0.04684281511491923,0.785769637868612,0.12228475768306075,1.678727626800537,6.690986394882202
02_decision_tree,Decision Tree,tree,0.3717249122951686,0.797720328306929,0.11102522523518489,0.36112874525774485,0.158429979735638,0.155,0.36792463415847426,0.037225544078189336,0.7897723010786747,0.11983609998925875,0.6648809909820557,1.8737964630126953
06_hist_gradient_boosting,HistGradientBoosting,boosting,0.37141187183215374,0.7951865623210536,0.11224134338756532,0.35271364852428416,0.1487928290061717,0.155,0.38171390754394896,0.03997627120990441,0.7881105746145716,0.12145602855290116,3.135615587234497,11.216142892837524
00_dummy,Majority baseline,baseline,0.155,0.5,0.13118899510204077,0.4320627734816342,0.16962857142857143,0.155,0.1682496142636722,0.025652416425515967,0.5,0.14012595550381152,0.3945608139038086,1.3414673805236816
