prevalence,n,cost_frozen,cost_oracle,cost_prior_corrected,regret_frozen,regret_corrected,cost_allow_all,cost_block_all,oracle_threshold,recall_frozen,precision_frozen,ece_raw,ece_corrected,best_no_model,beats_no_model
0.14,9915,25.52891326273323,25.52891326273323,25.587182299546143,0.0,0.058269036812912844,27.99798285426122,134.2264460413515,0.37,0.2672910662824208,0.44219308700834326,0.013490126760261007,0.014872284055809804,27.99798285426122,True
0.15,9820,26.895664460285133,26.895664460285133,26.956712067209775,0.0,0.061047606924642395,30.0,132.82757637474543,0.37,0.26883910386965376,0.4631578947368421,0.011587611284347476,0.0160464052816633,30.0,True
0.16,9206,28.304066641320876,28.304066641320876,28.384511459917444,0.0,0.08044481859656827,32.000868998479255,131.18905469259178,0.37,0.26883910386965376,0.48058252427184467,0.011736015621643784,0.016243288839532494,32.000868998479255,True
0.17,8665,29.850820830929024,29.831096364685518,29.832381708020772,0.0197244662435061,0.0012853433352546517,33.99884593190998,128.22159838430468,0.34,0.26883910386965376,0.49624060150375937,0.016389633316790095,0.016089447964542244,33.99884593190998,True
0.18,8183,31.362845227911524,31.284576255651963,31.27732799706709,0.07826897225956131,-0.007248258584873213,36.00146645484541,128.39398142490532,0.34,0.26883910386965376,0.5057471264367817,0.023866571950061095,0.01602720870126814,36.00146645484541,True
0.19,7753,32.40371952792467,31.774045530762283,31.812822455823554,0.6296739971623886,0.03877692506127062,37.998194247388106,125.62821488456082,0.25,0.26883910386965376,0.5387755102040817,0.032460031648107915,0.017747044422141835,37.998194247388106,True
0.2,7365,33.84774779361847,32.72800746775289,32.66403088934148,1.1197403258655783,-0.06397657841140614,40.0,123.94201459606246,0.26,0.26883910386965376,0.5561797752808989,0.04213766798286149,0.019699852164239657,40.0,True
0.21,7014,35.6833368976333,33.54317792985458,33.54887189905902,2.1401589677787243,0.005693969204443761,42.00171086398631,123.30419339891645,0.25,0.26883910386965376,0.55,0.04950151349759843,0.02069300979135241,42.00171086398631,True
0.22,6695,36.96154966392831,34.26840926064227,34.27058439133682,2.693140403286037,0.0021751306945461124,44.00298730395818,121.42028379387604,0.25,0.26883910386965376,0.5832106038291606,0.057707981742562496,0.021853223619535875,44.00298730395818,True
0.23,6404,37.96302115865085,34.599693550905684,34.491950343535294,3.3633276077451626,-0.10774320737039034,46.00249843847595,119.22276311680201,0.25,0.26883910386965376,0.6092307692307692,0.06738524974318395,0.0280373677044366,46.00249843847595,True
0.24,6137,39.10187795339743,35.277656020857094,35.277656020857094,3.8242219325403326,0.0,48.003910705556464,117.5809393840639,0.25,0.26883910386965376,0.6226415094339622,0.0749246862139514,0.02024799098483372,48.003910705556464,True
0.25,5892,41.07965249490835,35.46643542090971,35.441172352342164,5.613217073998641,-0.02526306856754701,50.0,114.17342371011542,0.24,0.26883910386965376,0.61875,0.08334401372993,0.024508446561061256,50.0,True
0.26,5665,42.27413724624889,36.64360105913504,36.5666240070609,5.630536187113854,-0.07697705207413463,52.003530450132395,116.16737864077669,0.2,0.26883910386965376,0.6513157894736842,0.09155095473744593,0.0215398616607927,52.003530450132395,True
0.27,5456,43.893333027859235,36.653977272727275,36.71615194281525,7.23935575513196,0.062174670087976835,53.995601173020525,113.47605846774194,0.21,0.26883910386965376,0.629570747217806,0.09862029475599836,0.019728075968599025,53.995601173020525,True
0.28,5261,45.053908477475765,36.614878350123554,36.573313058353925,8.439030127352211,-0.0415652917696292,55.99695875308877,111.73112526135716,0.21,0.26883910386965376,0.6567164179104478,0.10738754470339294,0.023725025418011487,55.99695875308877,True
0.29,5079,46.40137576294546,38.24320240204765,38.32048139397519,8.158173360897813,0.0772789919275425,58.00354400472534,108.65223469186847,0.2,0.26883910386965376,0.6677908937605397,0.115718384651226,0.02120253708191756,58.00354400472534,True
0.3,4910,47.77283350305499,37.399977087576374,37.399977087576374,10.372856415478616,0.0,60.0,109.19866344195519,0.19,0.26883910386965376,0.6827586206896552,0.12504203690799695,0.02550326790981685,60.0,True
0.31,4752,49.377646254208756,38.84227956649832,38.81931818181819,10.535366687710436,-0.02296138468012998,61.994949494949495,108.17366898148148,0.19,0.26883910386965376,0.6923076923076923,0.13255885306945153,0.022296109764393328,61.994949494949495,True
0.32,4603,50.479092439713234,38.1493102324571,38.105021181837934,12.329782207256137,-0.044289050619163106,64.00173799695851,107.70671029763199,0.19,0.26883910386965376,0.6996466431095406,0.14290291947905898,0.028777613023138283,64.00173799695851,True
0.33,4464,52.51161514336918,39.413687275985666,39.367517921146955,13.097927867383511,-0.04616935483871032,65.99462365591398,105.30100526433694,0.18,0.26883910386965376,0.6935201401050788,0.15059860837312095,0.02757904395382884,65.99462365591398,True
0.34,4332,53.66545186980609,37.98514542936288,37.74148199445983,15.68030644044321,-0.24366343490304843,68.00554016620498,101.46919148199449,0.16,0.26883910386965376,0.7096774193548387,0.1606924351066695,0.02600797309946031,68.00554016620498,True
0.35,4209,54.97976063197909,38.5637235685436,38.187657400807794,16.41603706343549,-0.37606616773580726,69.99287241625089,100.96652114516513,0.17,0.26883910386965376,0.7292817679558011,0.16856189640350874,0.02784572285256185,69.99287241625089,True
0.36,4092,56.45851661779081,39.71998106060606,39.695845552297165,16.738535557184754,-0.02413550830889477,71.99413489736071,100.20389784946238,0.17,0.26883910386965376,0.7415730337078652,0.1783898217225341,0.027893161781202346,71.99413489736071,True
0.37,3981,57.16910324039186,39.69133069580507,39.52034978648581,17.47777254458679,-0.1709809093192618,74.00150715900527,99.43215272544587,0.18,0.26883910386965376,0.7704280155642024,0.18566594221184698,0.027000906142199313,74.00150715900527,True
0.38,3876,59.1514802631579,39.69023477812178,39.652825077399385,19.461245485036123,-0.03740970072239236,76.0061919504644,96.12676083591332,0.17,0.26883910386965376,0.7542857142857143,0.19231952567313315,0.02622145707060422,76.0061919504644,True
0.39,3777,60.420363383637806,39.30815131056394,39.26184802753508,21.112212073073863,-0.04630328302886255,77.99841143764893,96.08264826581944,0.15,0.26883910386965376,0.7704280155642024,0.20236410704481334,0.026179294846127986,77.99841143764893,True
0.4,3682,62.186837995654535,38.41644826181424,38.23388104291146,23.770389733840297,-0.1825672189027756,80.01086366105378,91.74954508419339,0.14,0.26883910386965376,0.7615384615384615,0.2106616626277173,0.028798099691459675,80.01086366105378,True
