fold,n_train,n_valid,pr_auc,roc_auc,brier,log_loss,mean_pred,base_rate,model
0,5835,5833,0.15223727070118293,0.5,0.12965078332797444,0.4286775760130699,0.17652099400171378,0.15223727070118293,Majority baseline
1,11668,5833,0.16098062746442654,0.5,0.1350774290314855,0.4413347412331699,0.16438121357559135,0.16098062746442654,Majority baseline
2,17501,5833,0.17846734099091377,0.5,0.1468483831798754,0.46988910873414774,0.16324781441060512,0.17846734099091377,Majority baseline
3,23334,5833,0.20744042516715241,0.5,0.16604009017927793,0.5160714498611851,0.16705236993228764,0.20744042516715241,Majority baseline
4,29167,5833,0.14212240699468542,0.5,0.12301309180044423,0.41277605218908153,0.17512942709226187,0.14212240699468542,Majority baseline
0,5835,5833,0.3701763283649072,0.795970768544075,0.1102842140660786,0.3463172048742551,0.1571357085139158,0.15223727070118293,Logistic Regression
1,11668,5833,0.4114299149865056,0.806103885873598,0.11248781685935592,0.35164798479192383,0.16744251752623562,0.16098062746442654,Logistic Regression
2,17501,5833,0.43551361311773673,0.8085253360147155,0.12030055484333935,0.37038115332119304,0.1807359933261572,0.17846734099091377,Logistic Regression
3,23334,5833,0.4618333081048289,0.8029057014603591,0.13364486985319013,0.4063985863312218,0.1987510346577171,0.20744042516715241,Logistic Regression
4,29167,5833,0.39337692629046234,0.80886027004693,0.10250783257332437,0.3271294241557261,0.15825805928067493,0.14212240699468542,Logistic Regression
0,5835,5833,0.3415359126946657,0.7842849042166534,0.11406438396278536,0.363725881789747,0.15968327892097808,0.15223727070118293,Decision Tree
1,11668,5833,0.34035372179743667,0.7837287883318036,0.11864357207140848,0.39252494167192975,0.16021504236918666,0.16098062746442654,Decision Tree
2,17501,5833,0.3875765835570705,0.7928498947172602,0.12398529551255624,0.4423742705072169,0.17693607748530868,0.17846734099091377,Decision Tree
3,23334,5833,0.4245229752164561,0.7888459248850965,0.1374431689646983,0.4177499334806363,0.18214391094743135,0.20744042516715241,Decision Tree
4,29167,5833,0.3456339775267426,0.7991519932425593,0.10504407943484544,0.3333924849470925,0.16353087055578344,0.14212240699468542,Decision Tree
0,5835,5833,0.3655868360536705,0.7904546862332504,0.11178419734122513,0.3602363543487818,0.16459093470830574,0.15223727070118293,Random Forest
1,11668,5833,0.37746431938531005,0.7990889280869448,0.11569018307158757,0.3669442321255038,0.16072509145403546,0.16098062746442654,Random Forest
2,17501,5833,0.4371908620014321,0.8062424726449301,0.12244693030626448,0.3833066084771026,0.1743880313166099,0.17846734099091377,Random Forest
3,23334,5833,0.45817132736797067,0.7995500399547358,0.1359319394762232,0.41643293855977054,0.19162610200125896,0.20744042516715241,Random Forest
4,29167,5833,0.38796378683487504,0.803283549276381,0.10411145740673483,0.33863714391694166,0.16701522128926283,0.14212240699468542,Random Forest
0,5835,5833,0.3724815880345606,0.7937522203700161,0.11098218732532923,0.35679578943952583,0.16437599099641576,0.15223727070118293,Extra Trees
1,11668,5833,0.3784403457509455,0.7992675824388648,0.1150500339551832,0.36363337933042106,0.16184047698111703,0.16098062746442654,Extra Trees
2,17501,5833,0.4354240383715872,0.8049597151191787,0.12228952468014995,0.381135064439374,0.17115309943564092,0.17846734099091377,Extra Trees
3,23334,5833,0.45572022744174073,0.8011493019988094,0.13579505870745745,0.4141394615744954,0.186349004229328,0.20744042516715241,Extra Trees
4,29167,5833,0.3883946635411472,0.8043063739599394,0.10374214340539577,0.33545392042218797,0.16411804964626606,0.14212240699468542,Extra Trees
0,5835,5833,0.37701388640238054,0.7964713196512994,0.11004118983756553,0.34672169686481974,0.1613885812719617,0.15223727070118293,Gradient Boosting
1,11668,5833,0.364754398639986,0.7948952293412682,0.11757760634844328,0.363774958661408,0.17288010804523485,0.16098062746442654,Gradient Boosting
2,17501,5833,0.38899069330678804,0.7965489231973237,0.12462084848835288,0.38140114403366376,0.1823533497617836,0.17846734099091377,Gradient Boosting
3,23334,5833,0.4562756827494905,0.8001279981694117,0.1340870702826332,0.40745244494205896,0.19721915645510738,0.20744042516715241,Gradient Boosting
4,29167,5833,0.3977158198174554,0.8064233775826142,0.10254106307048431,0.32814593886283727,0.1598381941539245,0.14212240699468542,Gradient Boosting
0,5835,5833,0.33409538210735734,0.7759742300439976,0.11919351798403327,0.3858183064299341,0.13216288288088915,0.15223727070118293,HistGradientBoosting
1,11668,5833,0.3671914807428859,0.7840841385835516,0.11997386869900613,0.3769105293193951,0.1504246080520876,0.16098062746442654,HistGradientBoosting
2,17501,5833,0.39697781944987703,0.7919571363736231,0.12601445847391712,0.3892529014588836,0.16503492754484256,0.17846734099091377,HistGradientBoosting
3,23334,5833,0.4410847859168704,0.7921120234258102,0.13722065538745645,0.4188213263506413,0.19151250142758347,0.20744042516715241,HistGradientBoosting
4,29167,5833,0.3692200695027542,0.7964253446458757,0.10487764222009291,0.334222474198564,0.15435951532964393,0.14212240699468542,HistGradientBoosting
0,5835,5833,0.3408218912951273,0.7799688465006969,0.11607920756002325,0.3674089327011784,0.14255175571905052,0.15223727070118293,XGBoost
1,11668,5833,0.3694864102272675,0.7900032336220092,0.11829530960619972,0.3677202334374222,0.15517560205785857,0.16098062746442654,XGBoost
2,17501,5833,0.40323646748032094,0.7945894053329354,0.1250766813128624,0.38612563861495675,0.16740607571562088,0.17846734099091377,XGBoost
3,23334,5833,0.44227610733443284,0.7955017403103063,0.13640251490911437,0.41430351474107485,0.1917391433568549,0.20744042516715241,XGBoost
4,29167,5833,0.36773649515898355,0.797212652073757,0.1046926404120741,0.33371677679172684,0.1530028145608457,0.14212240699468542,XGBoost
0,5835,5833,0.3245559046265841,0.7684290711338234,0.12137891747183817,0.3944807103723937,0.12653118918103537,0.15223727070118293,LightGBM
1,11668,5833,0.35360011836949923,0.7781511167746645,0.1216029829760777,0.3818500444533742,0.1485941008554837,0.16098062746442654,LightGBM
2,17501,5833,0.4004487864382084,0.7924047684341017,0.12655060686762312,0.3904950262937557,0.16815161629735215,0.17846734099091377,LightGBM
3,23334,5833,0.44598166750530627,0.7951752198404314,0.13652970489386082,0.41691502387087415,0.18842528160070812,0.20744042516715241,LightGBM
4,29167,5833,0.3638433869218224,0.794688013160039,0.10536157620590393,0.33594681934949905,0.1508645534940907,0.14212240699468542,LightGBM
0,5835,5833,0.3699405541436354,0.790025186966542,0.11180620509092655,0.3525578590441723,0.1454185631833557,0.15223727070118293,CatBoost
1,11668,5833,0.3816359518147598,0.7957090749882602,0.11566386222568775,0.3604574427778083,0.15562835851198836,0.16098062746442654,CatBoost
2,17501,5833,0.4223784583706433,0.7996743291332497,0.12236082384656344,0.3767845997480273,0.1715486126751596,0.17846734099091377,CatBoost
3,23334,5833,0.44647258989279104,0.7973894451565384,0.13558904937662433,0.41080577352232356,0.19428598005192524,0.20744042516715241,CatBoost
4,29167,5833,0.3853971119057261,0.8050922350177759,0.10303891387253274,0.32841766585070253,0.15518737472546504,0.14212240699468542,CatBoost
0,5835,5833,0.3535386967288288,0.7781517867716049,0.11358391770183716,0.35866997813360163,0.14732314497384458,0.15223727070118293,MLP
1,11668,5833,0.3782150709978615,0.7903065760904335,0.11632466526590204,0.3664981550225158,0.1443086406198533,0.16098062746442654,MLP
2,17501,5833,0.4133865323318062,0.7944723354165362,0.12461978757034958,0.3827715622177996,0.18967157376943405,0.17846734099091377,MLP
3,23334,5833,0.43704043358148864,0.7874885364767967,0.13734975169639924,0.41731931785713117,0.19608140445216377,0.20744042516715241,MLP
4,29167,5833,0.3612950652699674,0.7914782769682928,0.10559141021732357,0.3373916082762866,0.15853815460792328,0.14212240699468542,MLP
