trial,state,value,seconds,elapsed_s,running_best,model,strategy
55,PRUNED,0.4295185046509107,0.387171,41.474658,0.43084439959216736,Logistic Regression,Optuna
56,COMPLETE,0.4286417205529169,0.93923,42.464065,0.43084439959216736,Logistic Regression,Optuna
57,PRUNED,0.4293500728856691,0.403616,42.925698,0.43084439959216736,Logistic Regression,Optuna
58,COMPLETE,0.4286219733592012,0.831434,43.807481,0.43084439959216736,Logistic Regression,Optuna
59,COMPLETE,0.42587910925288713,0.70681,44.565149,0.43084439959216736,Logistic Regression,Optuna
60,COMPLETE,0.42901617791974006,0.84905,45.468186,0.43084439959216736,Logistic Regression,Optuna
61,COMPLETE,0.42916863461019306,0.795066,46.314116,0.43084439959216736,Logistic Regression,Optuna
62,COMPLETE,0.42921421275013993,0.749921,47.113784,0.43084439959216736,Logistic Regression,Optuna
63,PRUNED,0.42670456784449085,0.387384,47.551821,0.43084439959216736,Logistic Regression,Optuna
64,COMPLETE,0.42880514268755016,0.753413,48.356389,0.43084439959216736,Logistic Regression,Optuna
65,COMPLETE,0.42727068735944135,0.901097,49.316238,0.43084439959216736,Logistic Regression,Optuna
66,COMPLETE,0.4292944711856333,0.759787,50.126164,0.43084439959216736,Logistic Regression,Optuna
67,COMPLETE,0.4257452507732801,0.870488,51.049454,0.43084439959216736,Logistic Regression,Optuna
68,PRUNED,0.4307136514149039,0.441466,51.542885,0.43084439959216736,Logistic Regression,Optuna
69,PRUNED,0.41597730981755454,0.409674,52.002575,0.43084439959216736,Logistic Regression,Optuna
70,COMPLETE,0.4269166027856411,1.062617,53.1167,0.43084439959216736,Logistic Regression,Optuna
71,COMPLETE,0.429192892319514,0.814797,53.983453,0.43084439959216736,Logistic Regression,Optuna
72,PRUNED,0.4305590308912852,0.404615,54.438947,0.43084439959216736,Logistic Regression,Optuna
73,COMPLETE,0.4292782141651565,0.780835,55.269108,0.43084439959216736,Logistic Regression,Optuna
74,COMPLETE,0.42918123683546433,0.855086,56.174288,0.43084439959216736,Logistic Regression,Optuna
75,COMPLETE,0.4293032315190346,0.792767,57.019464,0.43084439959216736,Logistic Regression,Optuna
76,COMPLETE,0.42811306889071865,0.71609,57.785299,0.43084439959216736,Logistic Regression,Optuna
77,PRUNED,0.42760852221206824,0.731766,58.56686,0.43084439959216736,Logistic Regression,Optuna
78,PRUNED,0.430874893281243,0.481232,59.09975,0.430874893281243,Logistic Regression,Optuna
79,COMPLETE,0.4277313552230095,0.748387,59.900827,0.430874893281243,Logistic Regression,Optuna
80,COMPLETE,0.4288196800047433,0.807045,60.758256,0.430874893281243,Logistic Regression,Optuna
81,COMPLETE,0.4292142523160083,0.843391,61.651662,0.430874893281243,Logistic Regression,Optuna
82,COMPLETE,0.42916689031722227,0.790383,62.493017,0.430874893281243,Logistic Regression,Optuna
