fn_cost_inr,margin_rate,optimal_threshold,cost_per_order_inr,precision,recall,flag_rate
150,0.15,0.34,19.047219000000002,0.4194915254237288,0.3360488798370672,0.118
150,0.2,0.37,20.132534000000003,0.4583333333333333,0.26883910386965376,0.0864
150,0.25,0.42,21.0499925,0.5031982942430704,0.16021724372029872,0.0469
150,0.3,0.42,21.548991,0.5031982942430704,0.16021724372029872,0.0469
150,0.35,0.48,21.768925,0.5531914893617021,0.07060420909708079,0.0188
175,0.15,0.26,21.021308750000003,0.36028431808085293,0.5505770536320435,0.2251
175,0.2,0.37,22.825034000000002,0.4583333333333333,0.26883910386965376,0.0864
175,0.25,0.37,23.8194175,0.4583333333333333,0.26883910386965376,0.0864
175,0.3,0.42,24.641491000000002,0.5031982942430704,0.16021724372029872,0.0469
175,0.35,0.42,25.140489499999997,0.5031982942430704,0.16021724372029872,0.0469
200,0.15,0.25,22.60517325,0.35636057287278855,0.5743380855397149,0.2374
200,0.2,0.34,25.396292000000003,0.4194915254237288,0.3360488798370672,0.118
200,0.25,0.37,26.5119175,0.4583333333333333,0.26883910386965376,0.0864
200,0.3,0.37,27.506301,0.4583333333333333,0.26883910386965376,0.0864
200,0.35,0.42,28.232989500000002,0.5031982942430704,0.16021724372029872,0.0469
225,0.15,0.24,24.163004249999997,0.35145941623350657,0.5967413441955194,0.2501
225,0.2,0.27,27.467228000000002,0.362298195631529,0.517990495587237,0.2106
225,0.25,0.37,29.204417499999998,0.4583333333333333,0.26883910386965376,0.0864
225,0.3,0.37,30.198801,0.4583333333333333,0.26883910386965376,0.0864
225,0.35,0.37,31.193184499999997,0.4583333333333333,0.26883910386965376,0.0864
250,0.15,0.21,25.434096500000003,0.3394400276529554,0.6666666666666666,0.2893
250,0.2,0.25,29.095231000000005,0.35636057287278855,0.5743380855397149,0.2374
250,0.25,0.34,31.745365000000003,0.4194915254237288,0.3360488798370672,0.118
250,0.3,0.37,32.891301,0.4583333333333333,0.26883910386965376,0.0864
250,0.35,0.37,33.885684499999996,0.4583333333333333,0.26883910386965376,0.0864
